acc_x, acc_y, angular_z, stamp, 
1.129734992980957,0.07579535245895386,-0.07777872748513608,1696617132773059946,
0.3914405107498169,-0.42781782150268555,-0.04376314424903513,1696617132835525039,
1.0411791801452637,0.1371956467628479,-0.36968705531281165,1696617133082617541,
-0.33984869718551636,-0.11607450246810913,-0.34237333249115454,1696617133292348292,
-0.3615803122520447,0.5697070956230164,-0.2635257955502628,1696617133502028271,
0.5741557478904724,0.5692378878593445,-0.31450402286953355,1696617133721739555,
0.219970703125,-0.17079627513885498,-0.5030642471658446,1696617133931582366,
0.6438674926757812,0.537402868270874,-0.43038425230531285,1696617134141714208,
-0.1701774001121521,-0.11339586973190308,-0.5147846712920692,1696617134351371011,
0.41503775119781494,-0.6860579252243042,-0.5103683696453236,1696617134570543676,
-0.07994067668914795,-0.1911119818687439,-0.682245594315564,1696617134780244532,
-0.08193826675415039,-0.7460513710975647,-0.5933019891766498,1696617134990045711,
0.1304304599761963,-0.8622757196426392,-0.6534303662884128,1696617135199676987,
-0.253439724445343,-1.3339316844940186,-0.6448555481642282,1696617135519255629,
-0.47592902183532715,-0.16058295965194702,-0.7032162711438784,1696617135848715231,
-0.16827255487442017,0.15292346477508545,-0.7201812483358837,1696617136168275584,
0.013467371463775635,-0.08301091194152832,-0.732604470474423,1696617136477921728,
-0.1798861026763916,-0.33543336391448975,-0.8027594232875633,1696617136807484774,
-0.13155096769332886,-0.6752767562866211,-0.7755174324553729,1696617137136963732,
-0.07766735553741455,0.3492082953453064,-0.8629284414934058,1696617137466515821,
-0.2915239930152893,-0.53350430727005,-0.8575447174252042,1696617137786297939,
-0.675268828868866,-0.7111371159553528,-0.732151779285911,1696617138116836134,
-0.36434823274612427,-0.23574137687683105,-0.6962597761826663,1696617138437293978,
-0.42576414346694946,-0.5067169070243835,-1.2198896199214226,1696617138764684388,
-0.029196560382843018,-0.6335539221763611,-1.368228303593303,1696617139084277714,
0.5384656190872192,-0.5002202391624451,-0.9899204898914162,1696617139413854023,
-0.5033746957778931,-0.3949812650680542,-0.9092648377352617,1696617139733833880,
0.07817614078521729,-0.5923024415969849,-1.0149536739624718,1696617140062889688,
0.17830157279968262,-0.5208582282066345,-1.0475981872551745,1696617140382427651,
-0.0755239725112915,-0.5355387330055237,-1.135888802729783,1696617140701973026,
-0.48865169286727905,-0.4647345542907715,-1.1069761896972212,1696617141031768396,
-0.3620699644088745,-0.8688620924949646,-1.1015453641409052,1696617141351901521,
-0.7659867405891418,-0.4655510187149048,-1.1207373924521495,1696617141670669823,
-0.1912996768951416,-0.5041726231575012,-1.1741807182553405,1696617142000245554,
-0.3584985136985779,-0.2925785183906555,-1.1475661655520681,1696617142319773054,
0.13622534275054932,-0.31718891859054565,-1.191578831438497,1696617142619313659,
-0.25571972131729126,-0.22343909740447998,-0.966027708452942,1696617142981336814,
-0.22890949249267578,-0.5875130295753479,-0.9031525406798779,1696617143301392272,
0.04685664176940918,-0.3893257975578308,-1.005832438489919,1696617143780519671,
0.09491807222366333,-0.31331193447113037,-1.250232308624181,1696617144107341510,
0.1272437572479248,-0.7574337124824524,-1.3106656893728805,1696617144436915400,
0.15625673532485962,-0.38992220163345337,-1.2755554741502197,1696617144756951383,
-0.16035789251327515,-0.36802518367767334,-1.4867349818870206,1696617145085871175,
-0.11011862754821777,-0.256919801235199,-1.6103009046730243,1696617145405438150,
0.06762409210205078,-0.5060142874717712,-1.384161346772934,1696617145735047919,
-0.7253258228302002,0.5109230279922485,-0.7756853615071891,1696617146064525892,
0.03395265340805054,-0.026275634765625,-0.007126538573967471,1696617146384299393,
0.01952296495437622,0.005392909049987793,-0.00038180577724921115,1696617146713587559,
-0.014494359493255615,0.03914231061935425,0.0019562936141875754,1696617147032150280,
0.0061942338943481445,-0.014839649200439453,-0.0011986235605378037,1696617147365013199,
