imu_ax (m/s^2), imu_ay (m/s^2), kf_ax (m/s^2), kf_ay (m/s^2), odom_v (m/s), odom_w (rad/s), kf_vx (m/s), kf_w (rad/s), odom_x (m), odom_y (m), kf_x (m), kf_y (m), odom_th (rad), kf_th (rad), stamp, 
-0.005261600017547607, 0.006193876266479492, -0.0052118518527543315, -0.0, 0.0, 0.0, -2.3410901079188322e-06, 0.0, -0.307138592004776, -2.646204710006714, -0.30713329306258713, -2.646215221704359, -1.1152407168777074, -1.1152421434154975, 1700248269188629208, 
0.003922700881958008, 0.0067272186279296875, 0.0026162018451203846, 3.8143993233089595e-13, 0.0, 0.0, -2.8262915978477374e-05, -1.3496128022365706e-08, -0.307138592004776, -2.646204710006714, -0.30713340959370755, -2.6462149838487443, -1.1152407917253815, -1.1152421436333484, 1700248269378450934, 
-0.014073789119720459, 0.0033798813819885254, -0.011639756976882746, 5.156366023171153e-14, 0.0, 0.0, -6.170678818219466e-07, -8.356237903594226e-08, -0.307138592004776, -2.646204710006714, -0.30713362754065776, -2.646214538989845, -1.1152409896397875, -1.1152421449862153, 1700248269519814682, 
-0.012457013130187988, 0.00597071647644043, -0.012337223630414946, -5.0092410889022086e-09, 9.162515560587931e-06, 7.529726281063631e-05, -7.790870021785702e-05, 6.429629906409437e-05, -0.30713874101638794, -2.646205186843872, -0.3071316856029936, -2.6462185027446474, -1.1152380664958432, -1.1152415885866203, 1700248269628197127, 
-0.3779093623161316, 0.6474093198776245, -0.3245739136795996, -0.0018205768901296824, -0.003973243600427008, 0.5611342191696167, -0.003798945618144011, 0.4792321536361271, -0.3068007230758667, -2.645892858505249, -0.30713610489421833, -2.646209487872051, -1.0831491983573522, -1.1111341585869126, 1700248269728977768, 
-0.2940101623535156, -0.041296958923339844, -0.29844775407901225, 4.4335471662265486e-05, 0.022081691978708264, 1.2197611331939697, 3.987556259269984e-05, 1.111845671373227, -0.30611106753349304, -2.6475744247436523, -0.3071452953589106, -2.6461914895845506, -0.9732330806248919, -1.0817671455256874, 1700248269828268749, 
0.22736823558807373, -0.08171379566192627, 0.15063719822143218, -0.027233489622454036, 0.031451519416888944, 1.0617730617523193, -0.025473848697713825, 1.0690763671254015, -0.30527523159980774, -2.650101900100708, -0.3071922314253652, -2.646102093692837, -0.8727265359637323, -1.026540304886197, 1700248269919542834, 
0.06300610303878784, 0.09659898281097412, 0.07588593610091061, 0.06336556167584359, 0.048183701429074494, 0.9978512525558472, 0.06288525086779459, 1.0076378928511993, -0.30219098925590515, -2.654015302658081, -0.3076690333835176, -2.6453194000747615, -0.7626534796330127, -0.9736111793469298, 1700248270029724532, 
0.1928393840789795, -0.07116192579269409, 0.1756968306767579, -0.0008987903122677838, 0.05588400737580537, 0.985927402973175, -0.000912126361694604, 0.9853791645687734, -0.29836586117744446, -2.6579432487487793, -0.30606621889501456, -2.647673956926347, -0.6617181573807619, -0.9234256265466579, 1700248270130851210, 
-0.2257474660873413, -0.031610190868377686, -0.1671632018978726, 0.018079663056093796, 0.06791549688564572, 1.0395324230194092, 0.017524827544858273, 1.0316599698236866, -0.2933211922645569, -2.6615846157073975, -0.30606617864782387, -2.647674520621261, -0.5637962754062157, -0.8737645998476805, 1700248270227184874, 
0.21254003047943115, 0.04567694664001465, 0.15718879753267412, 0.05307393167044554, 0.06759453255992562, 1.0168017148971558, 0.05209188206460185, 1.0188522581047426, -0.28815412521362305, -2.6648483276367188, -0.3053835483908061, -2.6484910881304145, -0.4696351160708084, -0.8222916214524425, 1700248270319618531, 
0.05236583948135376, 0.04253929853439331, 0.06766343383349545, 0.06275609402918261, 0.08434250711428135, 0.9957922697067261, 0.06286631485872722, 0.9982467426348707, -0.2801085114479065, -2.6685335636138916, -0.3035993914550718, -2.650412274720582, -0.3615016277071666, -0.771525199965352, 1700248270428716546, 
0.10492998361587524, -0.21865606307983398, 0.09935821133088543, -0.05870299637634074, 0.10666784416133628, 1.2036103010177612, -0.050427363034151546, 1.1641099760973934, -0.27042919397354126, -2.671818733215332, -0.30174273809429325, -2.652213411805645, -0.24389679043542, -0.7201752562110972, 1700248270529935778, 
-0.22976255416870117, 0.19403952360153198, -0.18151811724700104, 0.21357342125588366, 0.1403058023767015, 1.500192403793335, 0.14735007086093768, 1.4494286973057826, -0.25815311074256897, -2.674388885498047, -0.30302032209086543, -2.6510980396817785, -0.10933402160190664, -0.6595844996970133, 1700248270627026636, 
-0.30021804571151733, 0.17569756507873535, -0.28289834930948016, 0.17692815484534624, 0.13825526896678472, 1.2489246129989624, 0.13841760671891434, 1.2782200114515456, -0.24474240839481354, -2.6753289699554443, -0.29721451264392723, -2.655602401048271, 0.017826377497935805, -0.5885733061724167, 1700248270718529341, 
0.27600884437561035, 0.010721325874328613, 0.19439544169980477, 0.06771317760756602, 0.10478139681422821, 0.8969001173973083, 0.07138634369178083, 0.9485452553772169, -0.23292692005634308, -2.674971580505371, -0.2914807920179362, -2.6594326801206236, 0.11919086963757974, -0.5274308464099287, 1700248270828718052, 
0.7153896689414978, 0.30878007411956787, 0.6395348797582648, 0.2827464115101682, 0.1661506289273938, 1.3690661191940308, 0.21546767920720017, 1.3122451244219826, -0.2185172736644745, -2.6722519397735596, -0.2881575415710901, -2.661365446243639, 0.24206885577262346, -0.47698857259363386, 1700248270928793255, 
-0.2652420997619629, 0.04866480827331543, -0.1334026546160415, 0.13321697936617205, 0.19061068053586736, 1.3957806825637817, 0.09745557009800296, 1.366950901135839, -0.20050428807735443, -2.6672418117523193, -0.27920250942982877, -2.6659893726595105, 0.37834635377867604, -0.41086667625175866, 1700248271026714147, 
-0.2784959077835083, -0.4808071255683899, -0.25760893511091043, -0.15902261255881928, 0.1541782608326141, 1.060391902923584, -0.14660483490117227, 1.08470237469329, -0.18640616536140442, -2.6612329483032227, -0.27531601233917, -2.6676817255273497, 0.4860140016885228, -0.3447077975122281, 1700248271118380950, 
0.7712047696113586, 0.9018581509590149, 0.6218164196773952, 0.4015200749795274, 0.1534902360827716, 0.9084023237228394, 0.45328477976443793, 0.8858009200930782, -0.171930193901062, -2.653481960296631, -0.28024896214615075, -2.665920871914526, 0.584860941601908, -0.2924074785770018, 1700248271228752792, 
0.0012655854225158691, -0.36459261178970337, 0.09121605269008681, -0.021611275969561382, 0.1775674980765569, 1.015217661857605, -0.024944316467595817, 0.8663807644372914, -0.15783287584781647, -2.6432785987854004, -0.2605767660337664, -2.671836494609759, 0.6860593303601265, -0.24852941469971598, 1700248271328849874, 
0.10797488689422607, 0.5826863646507263, 0.10596091723798984, 0.34597438722637003, 0.18234950753925253, 1.0025229454040527, 0.35487120136062, 0.9749294558134375, -0.14479565620422363, -2.6321604251861572, -0.2600199650721495, -2.67198463673995, 0.7817844110629844, -0.20488725214092132, 1700248271425092904, 
0.48322421312332153, 0.3052387237548828, 0.4280494595323752, 0.2578171208023911, 0.18680179072135258, 1.0433799028396606, 0.24661418272628577, 1.0454269821478166, -0.13319335877895355, -2.6198179721832275, -0.24324284949849148, -2.6754658323481264, 0.8776693592985776, -0.15554018738627656, 1700248271518402851, 
-0.10077649354934692, -0.49316173791885376, -0.024052265052211752, -0.10187711100638135, 0.19582098366346484, 1.0139955282211304, -0.10779622468164635, 0.9450897868385848, -0.1201741099357605, -2.6026253700256348, -0.23274928144711504, -2.6771034816590915, 0.9894110953756542, -0.10363102098268215, 1700248271628836288, 
0.24324184656143188, -0.19652432203292847, 0.2043694535323857, 0.000283787583468003, 0.20090878288837505, 0.9852684140205383, 0.0002847260846622901, 0.9967038453979367, -0.10976200550794601, -2.585224151611328, -0.2376755519447704, -2.6765930611581354, 1.0894003606023202, -0.056053669395686526, 1700248271728904183, 
0.04159903526306152, -0.02024775743484497, 0.06544110956667445, 0.09226235837187098, 0.21725172080030897, 1.011842966079712, 0.09137663344121529, 1.00969312281816, -0.10087452083826065, -2.5664873123168945, -0.2372665575513706, -2.67661765983471, 1.1877113541677593, -0.0060859185861482645, 1700248271826034437, 
0.14055222272872925, 0.21743053197860718, 0.12972588690641418, 0.2088643299151925, 0.22352121568734643, 0.9934883713722229, 0.20961902327690515, 0.9963996904960495, -0.09385284036397934, -2.547224998474121, -0.23217034530252542, -2.6766512186001754, 1.2814693773316532, 0.04428849717900369, 1700248271918651462, 
0.11890631914138794, 0.37785589694976807, 0.1205810993384938, 0.29546862614935304, 0.2333408215189626, 0.9684631824493408, 0.29934188709580983, 0.9870607452099843, -0.08762624859809875, -2.5224292278289795, -0.22131767329606494, -2.6761722043509573, 1.389942736484516, 0.09400200136551817, 1700248272029011405, 
0.6541519165039062, 0.1273311972618103, 0.5761798316436951, 0.19539760499213285, 0.24662715866902388, 0.992241382598877, 0.20048268882173204, 0.9746357959408615, -0.08423145860433578, -2.498229742050171, -0.20690942655172964, -2.6748114260457525, 1.4893296429512313, 0.14333377811971018, 1700248272128837542, 
0.6841351985931396, 0.08692300319671631, 0.6683214068171639, 0.17375324662310354, 0.2497883939395799, 1.0154799222946167, 0.17467676526975406, 0.9947129851802309, -0.08300317823886871, -2.474370241165161, -0.19727078443193857, -2.673418394060923, 1.5858165842329208, 0.1922915596321206, 1700248272224833980, 
0.6516602635383606, 0.6509193181991577, 0.6543556534358159, 0.45197106338036164, 0.2709695776630373, 1.0046113729476929, 0.4371570338258087, 1.0338872039296885, -0.0842554122209549, -2.449343681335449, -0.187656928542097, -2.671551480800947, 1.679925716087825, 0.2421696520218798, 1700248272318128537, 
0.3607240319252014, -0.016283154487609863, 0.40321091027984335, 0.15742379030515286, 0.26762662667536, 1.0259168148040771, 0.16239045067859448, 0.9694153175098226, -0.08907494693994522, -2.4200353622436523, -0.16777904828213766, -2.6666356157207742, 1.7921072751904588, 0.2935332561179055, 1700248272428756902, 
-0.4438512325286865, 0.41826677322387695, -0.3200836653572088, 0.34312207887091045, 0.28110023237497317, 1.0228947401046753, 0.33439611172520184, 1.0260947027783607, -0.09648367017507553, -2.3932321071624756, -0.15937400067665008, -2.6640981833102817, 1.8931575112493502, 0.34221411929618106, 1700248272528766613, 
-0.4524485468864441, 0.4203048348426819, -0.43309973687558234, 0.3558773668960336, 0.2896627961139888, 0.9945440888404846, 0.3497711604918044, 1.017457718342597, -0.10657283663749695, -2.367363929748535, -0.14347253648710576, -2.6584348899287242, 1.9877714148120247, 0.3934234730708075, 1700248272625057813, 
0.4027624726295471, -0.23815131187438965, 0.2805016407851303, 0.06227292518943663, 0.30065147197311043, 1.0246292352676392, 0.06615824702690493, 0.9412722976791053, -0.11916777491569519, -2.3423304557800293, -0.12838946118990952, -2.6521690119554524, 2.084682188149456, 0.44399933459473134, 1700248272718799842, 
0.5932579636573792, 0.48830729722976685, 0.5479725680197196, 0.3822292838502012, 0.3162022501645989, 1.009178876876831, 0.380224941610417, 1.005271464389724, -0.13774257898330688, -2.3128974437713623, -0.12420629966665375, -2.6501859115438844, 2.1976739739920093, 0.4911922349593949, 1700248272828853303, 
0.1373729705810547, 0.493055522441864, 0.1972862979966593, 0.42567869675507464, 0.3440591354491849, 1.013472318649292, 0.4115039376720323, 1.0344462295141865, -0.1589382439851761, -2.286479949951172, -0.1074263830681786, -2.6412091152823174, 2.298723970705557, 0.5416998100360414, 1700248272928770765, 
0.5145329833030701, 0.6600043177604675, 0.4683138565762459, 0.5105449953642973, 0.33457745202054157, 1.0050545930862427, 0.4806065881874971, 1.062292960422591, -0.18247497081756592, -2.261910915374756, -0.08959219770463459, -2.630478143935015, 2.399621443946743, 0.5935705581003936, 1700248273029094871, 
0.2721022963523865, 0.5352256894111633, 0.3006703208261652, 0.4480070264769885, 0.3492355934817754, 0.9321387410163879, 0.45341103357818946, 0.9880814389130451, -0.20591461658477783, -2.2419586181640625, -0.06977338659796851, -2.617107968684271, 2.4812741628698456, 0.646169455666946, 1700248273118190206, 
0.16473358869552612, 0.05075263977050781, 0.18430299221598834, 0.2164382140629632, 0.34416167185060026, 0.9450221657752991, 0.24157346009649075, 0.8959519558833662, -0.23703625798225403, -2.219918966293335, -0.0523994082332934, -2.604000675597861, 2.5874426084810263, 0.6952445657181193, 1700248273228728289, 
-0.19566553831100464, 0.3891996741294861, -0.14008676180096974, 0.34330986784987005, 0.34941968932909434, 0.9181281924247742, 0.3713349843845881, 0.924528747052573, -0.26745665073394775, -2.202564239501953, -0.04269104007217881, -2.5959058194899565, 2.6800506583923633, 0.7400627953012545, 1700248273328823437, 
-0.45116686820983887, 0.6504384875297546, -0.4056335422727071, 0.48490853652111415, 0.3532412836677879, 0.9366612434387207, 0.4900646499821808, 0.98947870763326, -0.2996734082698822, -2.1881704330444336, -0.028545186426758545, -2.582989519776497, 2.773644253391954, 0.7866975839228009, 1700248273428793814, 
-0.02059006690979004, 0.5781702399253845, -0.07676679711342682, 0.46223877026044025, 0.3579582597808081, 0.9186800122261047, 0.4728138662829782, 0.9776337015966262, -0.3293662369251251, -2.177818775177002, -0.011227834928409428, -2.5656277512720176, 2.855752225456276, 0.8360756904374402, 1700248273518104083, 
0.20019590854644775, 0.04505002498626709, 0.15953070180315926, 0.2147688330424558, 0.3493647176560042, 0.9045820236206055, 0.2501075669329775, 0.8587058587476022, -0.36681216955184937, -2.1685564517974854, 0.0040107356554166095, -2.5487570666232644, 2.954724530732552, 0.8844172572762735, 1700248273628984739, 
