e, e_dot, e_int, stamp, 
0.3080241226303908, 0.0, 0.07874835678629159, 1697824783123493547, 
0.3080241226303908, 0.0, 0.04427648148857596, 1697824783155813531, 
0.2956089586302617, -0.013603185008572908, 0.10227030469905168, 1697824783460035520, 
0.2266334979450899, -0.08930915936956761, 0.1682454623248483, 1697824783763734408, 
0.14241166766465896, -0.16742405278899056, 0.1350994620909458, 1697824784069823937, 
0.03991253184024135, -0.18931325522457035, 0.08944888849979045, 1697824784419906592, 
-0.04395194107845102, -0.1895777181939576, 0.03016501922285334, 1697824784723821051, 
-0.10812207766414961, -0.1662647842544885, -0.022128371006634145, 1697824785011777428, 
-0.16352051891309105, -0.1204333416831993, -0.07238476820622204, 1697824785411901099, 
-0.17568905552498526, -0.059454552018794994, -0.10512597458216702, 1697824785716797791, 
-0.17720170039277883, -0.014966474198870497, -0.10467464900597344, 1697824786019989966, 
-0.14504870029296724, 0.028763247205868165, -0.1087902482559246, 1697824786372240417, 
-0.10718660413462233, 0.07431134195745842, -0.09158970513992722, 1697824786659825640, 
-0.05789241334200579, 0.09771051377855544, -0.06128714713518958, 1697824786965097588, 
0.002490806090314157, 0.11105269363095037, -0.03560616425542442, 1697824787316813572, 
0.04014658151951345, 0.09864972309188896, -0.0033293489510609806, 1697824787619835707, 
0.08066139444189391, 0.08824598527579273, 0.024308118723229674, 1697824787908257826, 
0.11792017357494555, 0.08213138052728397, 0.05094248479139685, 1697824788260009288, 
0.14623635313799, 0.06626569205899689, 0.07547389439431794, 1697824788564899112, 
0.17023175886864728, 0.0572723252183571, 0.08815860272266163, 1697824788868855836, 
0.21420769793988526, 0.06807770039275339, 0.11585555646063693, 1697824789219850144, 
0.29776352308167864, 0.13807854242686565, 0.14557502622780305, 1697824789509024659, 
0.5389535693243137, 0.36172252386477827, 0.20741499146041972, 1697824789811942918, 
