kf_x, kf_y, stamp, 
-0.0006132080636355212, 9.698610694864349e-08, 1701460897452068671, 
-0.0011285342791553035, 9.747765480325624e-08, 1701460897497965572, 
-0.0016152898820654782, 7.191673257015705e-06, 1701460897540914138, 
-0.002314775790048012, -1.0873999099095679e-05, 1701460897590851433, 
-0.0021815770915675965, -4.787356904760352e-06, 1701460897641087643, 
-0.0022436567384449438, 0.00016780158488030416, 1701460897896656293, 
-0.002435585205609246, 0.00020935992752962976, 1701460897990769879, 
-0.0024349219804796255, 0.00018452388540201594, 1701460898100648549, 
-0.0024362707844600524, 0.00013646793069102173, 1701460898200658097, 
-0.0024813093289592137, 2.5402751061649842e-05, 1701460898296653058, 
-0.0027266637157101906, 4.773764291824423e-05, 1701460898391138507, 
-0.002679248459287007, 5.216292962903825e-05, 1701460898500666212, 
-0.0025697814964356067, 6.315439387740823e-05, 1701460898600645545, 
-0.0024370094975104378, 6.801804471898562e-05, 1701460898701799825, 
-0.0023636144147263787, 7.02758313970762e-05, 1701460898791071000, 
-0.002269068898902745, 7.343577906781759e-05, 1701460898900654876, 
-0.00247328270520915, 6.829494920767789e-05, 1701460899000775901, 
-0.0023637100292694326, 7.119865208287076e-05, 1701460899100635977, 
-0.002356924134224166, 7.161293196169937e-05, 1701460899191212644, 
-0.00243635279163225, 6.659849371333215e-05, 1701460899300659305, 
-0.0024480041771755916, 6.437939512577311e-05, 1701460899400683428, 
-0.0024630942468225614, 6.181706099202088e-05, 1701460899500641922, 
-0.002365679899204758, 7.185504426281756e-05, 1701460899595008364, 
-0.002330525002875376, 7.763049634565516e-05, 1701460899686649207, 
-0.0023285919721680558, 7.959164635206576e-05, 1701460899796639949, 
-0.002298088087224065, 8.60714758509344e-05, 1701460899896673182, 
-0.002270696053343917, 9.33134219571119e-05, 1701460899994517854, 
-0.002259460260547727, 9.788502419901412e-05, 1701460900037488708, 
-0.002200645296996343, 0.00014421370429652092, 1701460900300675283, 
-0.0022807264274849097, 0.0001017411909345411, 1701460900390622927, 
-0.0023137628697730344, 7.788644655162038e-05, 1701460900501775510, 
-0.0023148733179695798, 7.109784227919892e-05, 1701460900700652751, 
-0.002313030249805603, 7.135909240152392e-05, 1701460900791379760, 
-0.00229928883190566, 8.383007902841131e-05, 1701460900900675111, 
-0.002303232927983145, 8.031619388658873e-05, 1701460901001133537, 
-0.0023188064406127985, 6.384522202465853e-05, 1701460901100656779, 
-0.0023250024370356456, 5.620978684147333e-05, 1701460901193089475, 
-0.0023405677543458236, 3.73050470406942e-05, 1701460901300710433, 
-0.0023334031907148007, 4.4773188846446916e-05, 1701460901400749332, 
-0.0023438298292475495, 3.124005212057348e-05, 1701460901500662223, 
-0.0023403124288814935, 3.507231586548539e-05, 1701460901592493226, 
-0.002352360260869378, 1.8264166907328792e-05, 1701460901701010565, 
-0.002339162190318595, 3.619170456868131e-05, 1701460901800727509, 
-0.0023418123481531426, 3.24363256886194e-05, 1701460901900679941, 
-0.0023307109405080926, 4.9129902993577654e-05, 1701460901990679474, 
-0.0023245127217367064, 5.941012793296656e-05, 1701460902100693832, 
-0.002326445356630884, 5.6660303084246756e-05, 1701460902200692567, 
-0.0023204804899826783, 6.667799680948588e-05, 1701460902300676755, 
-0.0023165577079841074, 7.360655246690858e-05, 1701460902391940409, 
-0.0023040907368330563, 9.577352698774774e-05, 1701460902500774323, 
-0.002312774098404307, 8.07792912149204e-05, 1701460902601694821, 
-0.0023113822258109987, 8.327833836087388e-05, 1701460902700039677, 
-0.0023127655701721773, 8.075505174267583e-05, 1701460902791666524, 
-0.0023084491594649193, 8.888552124536097e-05, 1701460902902125694, 
-0.002320025549848933, 6.683719412046064e-05, 1701460903002500077, 
-0.0023195747263569932, 6.750602914314826e-05, 1701460903099010073, 
-0.002312880294489023, 8.05474537419469e-05, 1701460903191335252, 
-0.0023197425962939665, 6.707658467226356e-05, 1701460903288685759, 
-0.0023214977717445568, 6.348602841669998e-05, 1701460903400934639, 
-0.0023239836817839344, 5.843373866116106e-05, 1701460903498691576, 
-0.0023211670689919227, 6.407912306674316e-05, 1701460903591436130, 
-0.002321031082479741, 6.436688161364107e-05, 1701460903700703523, 
-0.0023250784794091595, 5.608198589438762e-05, 1701460903800696320, 
-0.0023200403758370453, 6.640274709646216e-05, 1701460903897692230, 
-0.0023178416464822316, 7.096120321084393e-05, 1701460903990807558, 
-0.0023111017308654726, 8.494231390100643e-05, 1701460904091721018, 
-0.00230788471147246, 9.168020215000574e-05, 1701460904200690375, 
