kf_x, kf_y, stamp, 
6.802075687888094e-05, -3.1309241819273593e-07, 1701461005757027597, 
4.131388106547716e-05, -3.131752104964266e-07, 1701461005806530215, 
0.0002783636940077085, -1.6757238349966391e-07, 1701461005856140869, 
0.00042338802170590326, -5.134586915496684e-08, 1701461005905726482, 
0.0008365616564387124, 1.815902440428235e-05, 1701461006066266743, 
0.0006697645172236741, -0.00016224902489939762, 1701461006348454276, 
0.0010805450825704748, -0.0002528557160554502, 1701461006450280737, 
0.001012887753686224, -0.0002613212429830594, 1701461006545595191, 
0.0013329946119754771, -0.00037407664286843626, 1701461006655144570, 
0.0012310949859287775, -0.000308275181053222, 1701461006747288779, 
0.0012280076429042812, -0.00027370998995119363, 1701461006846702876, 
0.001114522066747828, -0.0002718407119010567, 1701461006944114225, 
0.0006857418736768148, -0.0002915591030429989, 1701461007054230887, 
0.0006116550661813139, -0.00028756884870427703, 1701461007147100620, 
0.00035196765174274827, -0.00029594716250240294, 1701461007246734670, 
0.00025103767804101723, -0.00029600199098821727, 1701461007343751052, 
0.00028071387638606927, -0.00029170413638051956, 1701461007458512298, 
0.00024011039597486258, -0.0002917913485687262, 1701461007547209988, 
0.00027671411520843275, -0.0002906269031099976, 1701461007645750395, 
0.00027190882901154166, -0.000290374580672681, 1701461007742693684, 
0.00012223596576481862, -0.000285408083538634, 1701461007857481309, 
0.00012732227350104372, -0.00028254208859688796, 1701461007947236944, 
0.00017124087680716335, -0.0002839868251245668, 1701461008046746684, 
0.0002377497626961656, -0.00029041014145323547, 1701461008142448123, 
0.00028569586354112455, -0.000299054372641509, 1701461008257150474, 
0.0003105745647661511, -0.0003054616435476704, 1701461008346830609, 
0.0003063857322248325, -0.0003069501747894312, 1701461008446822823, 
0.00027447559541442343, -0.00030017649719165485, 1701461008547881375, 
0.0002403404313505161, -0.00028891852346331343, 1701461008657201548, 
0.0002367605670835468, -0.00028563948758200306, 1701461008747114739, 
0.0002630906769509538, -0.0002951627695288092, 1701461008847357934, 
0.0002616993129720451, -0.00029540283644011086, 1701461008948461544, 
0.00026550970605945725, -0.0002979652856148319, 1701461009057042346, 
0.00027963609887952955, -0.00030753872270415005, 1701461009146820785, 
0.0002764885025053482, -0.000306767883174313, 1701461009247113677, 
0.0002762714062297634, -0.0003071619965641675, 1701461009348433999, 
0.0002689829691871313, -0.0003006224379352367, 1701461009457575976, 
0.0002601413452645229, -0.000290903121420253, 1701461009547403730, 
