kf_x, kf_y, stamp, 
-2.506332320486315e-06, -2.7030869038527037e-14, 1701461126005826787, 
-6.780867893010941e-06, -6.971325852062912e-14, 1701461126049297802, 
2.5343431891935728e-06, -3.734650201707626e-14, 1701461126102964726, 
9.1407648345373e-06, 3.371006524047407e-14, 1701461126242901710, 
1.0610621318055804e-05, 6.230639679124539e-14, 1701461126313510076, 
1.3588763224359385e-05, 1.0160012842868334e-13, 1701461126503042777, 
4.096091492032125e-06, -1.4183293682959323e-15, 1701461126594023396, 
-1.4297029555802849e-05, -3.2012622223892535e-13, 1701461126713052970, 
-2.8680540270238977e-05, -6.709285549494333e-13, 1701461126802875865, 
-2.8313589169008683e-05, -7.293747915037947e-13, 1701461126902987964, 
-2.1073703699916005e-05, -4.995132314077075e-13, 1701461126993398237, 
-1.5231001352490692e-06, 7.709534082517622e-14, 1701461127112704423, 
-8.701207720703206e-06, -8.499220689520336e-14, 1701461127203241999, 
1.1408513777747665e-05, 5.161752402294611e-13, 1701461127303444687, 
2.6219902705369822e-05, 1.010245629617852e-12, 1701461127392932874, 
2.7977150838633355e-05, 1.019027975435006e-12, 1701461127512902579, 
1.8142244244774447e-05, 7.378758909120065e-13, 1701461127603983550, 
3.381522339062974e-05, 1.2471072266455253e-12, 1701461127702828766, 
3.179768841701336e-05, 7.963314850181485e-13, 1701461127792822036, 
2.478687157681026e-05, 4.0953569714430296e-12, 1701461127913409388, 
2.6162206513349418e-05, 6.619608892575526e-12, 1701461128004153352, 
2.2711804293441807e-05, 8.655038972608415e-12, 1701461128102835606, 
2.7469242252795726e-05, 1.1599671030677715e-11, 1701461128192880449, 
