x, y, theta, stamp, 
-1.0051963329315186, 0.01901913993060589, -1.1037455197657238, 1697825795123032429, 
-1.0051963329315186, 0.01901913993060589, -1.1037455197657238, 1697825795171990671, 
-1.0051963329315186, 0.01901913993060589, -1.1037455197657238, 1697825795221676232, 
-1.0051950216293335, 0.01902245171368122, -1.1037724892678087, 1697825795426876626, 
-0.9845269918441772, -0.013205739669501781, -0.8711155792880727, 1697825795776908898, 
-0.9269301295280457, -0.05924157425761223, -0.4199493174158958, 1697825796082112836, 
-0.8564169406890869, -0.07557941228151321, 0.026697095414338904, 1697825796372355464, 
-0.7825788259506226, -0.05909408628940582, 0.4894537027691747, 1697825796681894635, 
-0.7368401288986206, -0.027595380321145058, 0.8359972751918255, 1697825797031893942, 
-0.7244648337364197, -0.011488904245197773, 0.9514734118525434, 1697825797332914542, 
-0.7063378095626831, 0.019833456724882126, 1.1727814976072848, 1697825797683063623, 
-0.6895787119865417, 0.08569242060184479, 1.4764949574940236, 1697825797973318496, 
-0.6940762400627136, 0.17642414569854736, 1.8009061017469272, 1697825798279505837, 
-0.7285352349281311, 0.2602781057357788, 2.130117458462498, 1697825798582236424, 
-0.7995247840881348, 0.34264543652534485, 2.4341027840864475, 1697825798931886928, 
-0.8702831864356995, 0.39699703454971313, 2.5361165836383064, 1697825799221689392, 
-0.9456953406333923, 0.45106256008148193, 2.501056506449521, 1697825799522281031, 
-1.0276148319244385, 0.5229472517967224, 2.293067894434071, 1697825799877935955, 
-1.0779882669448853, 0.5998990535736084, 1.989351755167678, 1697825800181960407, 
-1.1028168201446533, 0.6869640946388245, 1.6844650394308276, 1697825800481907689, 
-1.1000885963439941, 0.7906352877616882, 1.3956702373474419, 1697825800822266451, 
-1.0792914628982544, 0.8802952766418457, 1.270307879634289, 1697825801122073455, 
-1.0534809827804565, 0.9715659022331238, 1.3018132268021687, 1697825801431917373, 
-1.0358070135116577, 1.0763020515441895, 1.5189517755948743, 1697825801782011257, 
-1.0438426733016968, 1.1635499000549316, 1.8208137407118228, 1697825802071932772, 
-1.080318570137024, 1.2465187311172485, 2.151589421883543, 1697825802371913037, 
-1.144033670425415, 1.3165608644485474, 2.4725231536178716, 1697825802682927915, 
-1.2368600368499756, 1.3740739822387695, 2.68374439212443, 1697825803031941273, 
-1.320052981376648, 1.4148463010787964, 2.6835458218888, 1697825803332089723, 
-1.4121713638305664, 1.4693119525909424, 2.5030675050829383, 1697825803682903861, 
-1.4752705097198486, 1.5298491716384888, 2.2181440167406823, 1697825803972992429, 
-1.5167244672775269, 1.6070187091827393, 1.844820050765654, 1697825804281995020, 
-1.5260282754898071, 1.688195824623108, 1.4562303958293654, 1697825804582071465, 
-1.5023013353347778, 1.7707862854003906, 1.0600523891211877, 1697825804933035694, 
-1.4654384851455688, 1.8223137855529785, 0.7470370972686234, 1697825805224811026, 
-1.4315088987350464, 1.8520437479019165, 0.6861783229186829, 1697825805522443468, 
-1.4078232049942017, 1.8731287717819214, 0.7872350543895877, 1697825805831243042, 
-1.396936058998108, 1.8885942697525024, 1.1734624072803783, 1697825806183278055, 
-1.3949602842330933, 1.9002010822296143, 1.7461750955441553, 1697825806474108905, 
-1.405474066734314, 1.9189175367355347, 2.4154298690552265, 1697825806823158657, 
-1.4272260665893555, 1.9300200939178467, 2.974077726189332, 1697825807123114107, 
-1.4536291360855103, 1.9288387298583984, -2.846848939574614, 1697825807432974514, 
-1.4821006059646606, 1.9166436195373535, -2.621609252903601, 1697825807782966510, 
-1.4997296333312988, 1.9058568477630615, -2.4924515997093293, 1697825808072994427, 
-1.5123419761657715, 1.8995604515075684, -2.8468313417590596, 1697825808373087858, 
-1.5216188430786133, 1.8987655639648438, 2.8372733757752933, 1697825808682960588, 
-1.5344597101211548, 1.9071295261383057, 2.166276265624724, 1697825809028961752, 
-1.5408884286880493, 1.9256460666656494, 1.582528823933444, 1697825809335974071, 
-1.535951018333435, 1.9452846050262451, 1.0335127220479834, 1697825809623159211, 
-1.520050048828125, 1.9606879949569702, 0.45855725077174214, 1697825809973003109, 
