x, y, theta, stamp, 
-0.983046293258667, -0.009437356144189835, 1.6975038804918043, 1697828723341416489, 
-0.983046293258667, -0.009437356144189835, 1.6975038804918043, 1697828723391685778, 
-0.983046293258667, -0.009437356144189835, 1.6975039196649315, 1697828723442503174, 
-0.983046293258667, -0.009437356144189835, 1.6975039444520814, 1697828723691404989, 
-0.9845619797706604, 0.002688177628442645, 1.7014064032937426, 1697828723981973446, 
-0.9967184662818909, 0.08395833522081375, 1.7266012614593076, 1697828724286509216, 
-1.0121896266937256, 0.1710713654756546, 1.7558407002643277, 1697828724612369469, 
-1.033524751663208, 0.2703056037425995, 1.791041746195608, 1697828724942060237, 
-1.0538017749786377, 0.35350221395492554, 1.819362156163433, 1697828725251430039, 
-1.0629388093948364, 0.3859211206436157, 1.8531356846367806, 1697828725601648341, 
-1.0841538906097412, 0.45649510622024536, 1.865911265282176, 1697828725892005430, 
-1.1110895872116089, 0.545127272605896, 1.8621119961040662, 1697828726191649414, 
-1.137495994567871, 0.6329594850540161, 1.8552528091859783, 1697828726492453191, 
-1.1675866842269897, 0.7395065426826477, 1.836306930753399, 1697828726851504305, 
-1.191075086593628, 0.8286177515983582, 1.8206560086659824, 1697828727152229388, 
-1.2123347520828247, 0.9172248244285583, 1.7968487158843098, 1697828727491540987, 
-1.233780026435852, 1.0079405307769775, 1.8003123574145443, 1697828727791478804, 
-1.2553080320358276, 1.0977282524108887, 1.7990292990945131, 1697828728091437486, 
-1.2809284925460815, 1.2060260772705078, 1.8081139749653439, 1697828728451509792, 
-1.3035887479782104, 1.2951319217681885, 1.824644288778075, 1697828728751440821, 
-1.3269964456558228, 1.3819745779037476, 1.8353147025741432, 1697828729042146007, 
-1.3520615100860596, 1.4705166816711426, 1.8436603233707947, 1697828729342525211, 
-1.3814966678619385, 1.5741498470306396, 1.8474660194084909, 1697828729691684147, 
-1.4076834917068481, 1.665314793586731, 1.8474338274304651, 1697828730000158852, 
-1.43641996383667, 1.7672317028045654, 1.8440918298408777, 1697828730351476420, 
-1.4551689624786377, 1.8339170217514038, 1.84317127403936, 1697828730643169888, 
-1.468829870223999, 1.8831790685653687, 1.8385321604671727, 1697828730941464258, 
-1.478346586227417, 1.9174017906188965, 1.8357999469875104, 1697828731247532859, 
-1.483120083808899, 1.9342103004455566, 1.8329381331756807, 1697828731601459369, 
-1.4849756956100464, 1.941445231437683, 1.8320618095039085, 1697828731893999736, 
-1.487902045249939, 1.9519784450531006, 1.8272444816847337, 1697828732241600770, 
