x, y, th, stamp, 
-18.282257080078125,8.932299613952637,2.7659418062336285,1696617300861267135,
-18.302236557006836,8.940218925476074,2.7665492381326713,1696617300912018443,
-18.322532653808594,8.947962760925293,2.767470347518266,1696617300961945188,
-18.425100326538086,8.98748779296875,2.7725202773820015,1696617301217162646,
-18.503734588623047,9.017648696899414,2.7770223251719797,1696617301411178645,
-18.586538314819336,9.048689842224121,2.780162579279805,1696617301618035203,
-18.664701461791992,9.078181266784668,2.782056122252511,1696617301811200698,
-18.763477325439453,9.114509582519531,2.782994053323959,1696617302062029170,
-18.881988525390625,9.15910816192627,2.7834672731005714,1696617302371038801,
-18.999101638793945,9.202081680297852,2.7855536961075065,1696617302662185989,
-19.141469955444336,9.254293441772461,2.7908222662922495,1696617303010951086,
-19.2630615234375,9.2976655960083,2.794551628777668,1696617303311037768,
-19.405433654785156,9.348747253417969,2.7968506585486543,1696617303663054673,
-19.53265953063965,9.393607139587402,2.799338044306629,1696617303970312114,
-19.667022705078125,9.441206932067871,2.799185023002457,1696617304301763777,
-19.7940731048584,9.486503601074219,2.7980591773095576,1696617304611639284,
-19.937639236450195,9.537796974182129,2.7942686338977087,1696617304961257739,
-20.04985237121582,9.577898025512695,2.795189409254968,1696617305262130420,
-20.195932388305664,9.629159927368164,2.7988727042997263,1696617305621039320,
-20.3100643157959,9.668898582458496,2.8043267687775164,1696617305901596769,
-20.52191162109375,9.743756294250488,2.800469154989271,1696617306422055471,
-20.636005401611328,9.784058570861816,2.80291745797084,1696617306702885882,
-20.781898498535156,9.834412574768066,2.8070457088277454,1696617307059157152,
-20.905588150024414,9.8760986328125,2.8129601626160636,1696617307361970715,
-21.050151824951172,9.9242525100708,2.8166533123658053,1696617307711135342,
