x, y, th, stamp, 
-7.422386646270752,1.833403468132019,2.6749259555177094,1696616059709460059,
-7.451622009277344,1.84843111038208,2.6162958958220828,1696616059799535793,
-7.545320510864258,1.913749098777771,2.4100265862134873,1696616060109443276,
-7.630543231964111,2.0075502395629883,2.1744265602451796,1696616060459472679,
-7.68532657623291,2.10329532623291,1.967690574214814,1696616060760432211,
-7.721675872802734,2.222090482711792,1.7377141145980892,1696616061097646707,
-7.731695652008057,2.3324177265167236,1.5391870738388973,1696616061399588632,
-7.714354515075684,2.4598565101623535,1.2988292701804776,1696616061749382701,
-7.674551010131836,2.567261219024658,1.091212291286504,1696616062061025423,
-7.604672908782959,2.6750354766845703,0.8545316066571721,1696616062409173209,
-7.528555393218994,2.7497806549072266,0.6614922873710656,1696616062699223061,
-7.420094013214111,2.8183743953704834,0.4222394266122918,1696616063049496013,
-7.316125869750977,2.855516195297241,0.22508110275626095,1696616063349433503,
-7.184101104736328,2.871999502182007,-0.019205204125129938,1696616063709518008,
-7.07579231262207,2.860430955886841,-0.22303888737981703,1696616064004443814,
-6.9503960609436035,2.81805419921875,-0.4660519790015855,1696616064363329229,
-6.861572265625,2.76400089263916,-0.6608104501212255,1696616064645545253,
-6.766265869140625,2.6724419593811035,-0.9036116925627921,1696616065002740413,
-6.704929351806641,2.5802035331726074,-1.107788426023328,1696616065304473091,
-6.658863544464111,2.457712173461914,-1.3473855571974351,1696616065659488670,
-6.6427083015441895,2.3299739360809326,-1.583456978891952,1696616066009488333,
-6.656068801879883,2.2060327529907227,-1.8119627585522984,1696616066349467217,
-6.691139221191406,2.1011850833892822,-2.012603282506019,1696616066649545263,
-6.7460618019104,2.005953311920166,-2.213935244422086,1696616066949419740,
-6.836374282836914,1.9082813262939453,-2.4562372647952757,1696616067309495803,
-6.92677116394043,1.8456311225891113,-2.663160770723576,1696616067611586452,
-7.046222686767578,1.7977148294448853,-2.8932111278936143,1696616067959498625,
-7.169251918792725,1.7789387702941895,-3.1226885315382753,1696616068297385554,
-7.2805023193359375,1.7863683700561523,2.954601550053758,1696616068599435450,
-7.389729976654053,1.816882610321045,2.745481963599427,1696616068906509082,
-7.503468990325928,1.8784511089324951,2.5064373248106055,1696616069261023590,
-7.586790561676025,1.951526165008545,2.302035865538908,1696616069559877701,
-7.661200046539307,2.0517799854278564,2.072225175954059,1696616069899656387,
-7.705854415893555,2.1520113945007324,1.8688701945981732,1696616070199481980,
-7.731400966644287,2.2785112857818604,1.6351212586418955,1696616070549489942,
-7.7289958000183105,2.3919363021850586,1.4235602111117531,1696616070859500669,
-7.698624134063721,2.5155322551727295,1.1925029089474788,1696616071205533483,
-7.650522708892822,2.6127216815948486,0.9891386203047524,1696616071499927916,
-7.569701194763184,2.713247537612915,0.7575441985598628,1696616071849758465,
-7.4832234382629395,2.782517910003662,0.552876208437295,1696616072150466039,
-7.364283561706543,2.8401339054107666,0.3116059786199651,1696616072510533535,
-7.257140636444092,2.865691900253296,0.11295997785126644,1696616072809665011,
-7.131563663482666,2.8676340579986572,-0.11925069072066274,1696616073150535799,
-7.022799491882324,2.8453383445739746,-0.3254415782412814,1696616073449627062,
-6.905981063842773,2.792478084564209,-0.5632938740349324,1696616073800470504,
-6.851815223693848,2.753917694091797,-0.7091019944201084,1696616074009666918,
-6.740036487579346,2.632148265838623,-0.9970483399523371,1696616074458664800,
-6.693814277648926,2.545095682144165,-1.1993641943350843,1696616074761773534,
-6.659539699554443,2.4247939586639404,-1.4194389517018853,1696616075098384119,
-6.652976036071777,2.327263355255127,-1.620716307533656,1696616075399460624,
-6.671943664550781,2.199582815170288,-1.8501344708389638,1696616075750465156,
-6.712444305419922,2.0929880142211914,-2.0617842942201463,1696616076060553880,
-6.783926963806152,1.9867616891860962,-2.297983688818653,1696616076410031628,
-6.862156391143799,1.9122761487960815,-2.498598698746934,1696616076700861977,
-6.97186279296875,1.8457380533218384,-2.7375975239744634,1696616077050989518,
-7.095621585845947,1.8071297407150269,-2.9714586420902895,1696616077401014320,
-7.223010063171387,1.7985050678253174,3.0684997903910354,1696616077750555228,
-7.324503421783447,1.815523624420166,2.8644495217420762,1696616078060569767,
-7.4440717697143555,1.8627463579177856,2.629041169189971,1696616078410653143,
-7.532474517822266,1.9221214056015015,2.4346930468894743,1696616078701840805,
-7.621864318847656,2.014646291732788,2.1962673749902755,1696616079050629454,
-7.678262233734131,2.1088883876800537,1.9913180009112539,1696616079350503718,
-7.719338417053223,2.2350170612335205,1.7444399603687504,1696616079710593943,
-7.72951602935791,2.344900608062744,1.5418971079796508,1696616080010598840,
-7.714412689208984,2.468541383743286,1.3159559769949558,1696616080350551805,
-7.677436351776123,2.573159694671631,1.1138303496097464,1696616080650637109,
-7.609806060791016,2.6825156211853027,0.8786224574022841,1696616081001632266,
-7.530796051025391,2.7638165950775146,0.6735940566580847,1696616081309593886,
-7.422422409057617,2.8334267139434814,0.4345839217342933,1696616081658599439,
-7.317983627319336,2.8723363876342773,0.23546386196556346,1696616081960556930,
-7.194606781005859,2.8896796703338623,0.0053026309018156075,1696616082298981379,
-7.0828728675842285,2.8804616928100586,-0.20251744102591007,1696616082600503084,
-6.959193706512451,2.8416972160339355,-0.4438811622157241,1696616082950584853,
-6.860459804534912,2.783813714981079,-0.6559945549072395,1696616083261646796,
-6.766345977783203,2.6952977180480957,-0.8902061456626448,1696616083611052355,
-6.713598251342773,2.617285966873169,-1.084577472064728,1696616083900940481,
-6.664585113525391,2.4971234798431396,-1.3205515629705133,1696616084251010829,
