e, e_dot, e_int, stamp, 
0.12509498498429306, -2.569535255636149e-07, 0.00421514666070267, 1697828723442503174, 
0.12509496019714317, -2.901488772972339e-07, 0.01249779054560014, 1697828723691404989, 
0.12194547196122274, -0.003613052388186818, 0.022306221634087076, 1697828723981973446, 
0.10105992543272913, -0.026473548328152113, 0.023017332691408023, 1697828724286509216, 
0.07560705871041362, -0.048897116381931914, 0.020916011638494898, 1697828724612369469, 
0.04317420437175756, -0.05882777370233841, 0.016013012843199597, 1697828724942060237, 
0.016076310135266114, -0.0619880613729587, 0.009575795289905802, 1697828725251430039, 
-0.01790013836953408, -0.06153522722565737, 0.003030468466245956, 1697828725601648341, 
-0.03194678133956841, -0.04846406268618664, -0.0024036246035631756, 1697828725892005430, 
-0.03010737300826083, -0.014079495058334376, -0.005241457610466716, 1697828726191649414, 
-0.02524790021341028, 0.007431201775069503, -0.005824480354666234, 1697828726492453191, 
-0.007664243220665723, 0.021709177550006897, -0.00462041512810343, 1697828726851504305, 
0.007996034758839698, 0.03368254580079926, -0.001826561713976235, 1697828727152229388, 
0.03362304133283245, 0.04253384399073488, 0.0024147042854026097, 1697828727491540987, 
0.03265804458336552, 0.02410304838180882, 0.005275734001519928, 1697828727791478804, 
0.03659272428949589, 0.0033000276431684825, 0.006857070953465135, 1697828728091437486, 
0.03190159793911085, 2.9705280048875533e-05, 0.007418188511716051, 1697828728451509792, 
0.0179081349117316, -0.01989463094447642, 0.006336212207201986, 1697828728751440821, 
0.008424961909328843, -0.026425625078799624, 0.0038217244105364333, 1697828729042146007, 
-0.0004102694968106668, -0.02067828812697049, 0.0017025087306699455, 1697828729342525211, 
-0.005261556652772725, -0.014435933655395005, 0.0001986962978391719, 1697828729691684147, 
-0.007499010063124922, -0.00704916293059819, -0.0009623983303975576, 1697828730000158852, 
-0.00665253010680833, -0.0016146120496728766, -0.0014231790309580286, 1697828730351476420, 
-0.008726902973861916, -0.0015673460701244965, -0.0016345657142176478, 1697828730643169888, 
-0.006990542784312437, -0.00043017335941244756, -0.001466445966299257, 1697828730941464258, 
-0.008619434140192617, 0.0001663269131184491, -0.0016342565600274712, 1697828731247532859, 
-0.010985628807648862, -0.004002511630376993, -0.0019503299730339065, 1697828731601459369, 
-0.01009837311048778, -0.0012175397985052512, -0.0021335875049774784, 1697828731893999736, 
