kf_x, kf_y, stamp, 
2.9525872073607333e-06, 2.4115020477308387e-08, 1701461883178353387, 
5.688302128366362e-06, 2.411436506694755e-08, 1701461883246259257, 
6.9251355043000945e-06, 2.4114074980166417e-08, 1701461883288254832, 
2.707411706154421e-05, 2.4109295278943672e-08, 1701461883338271345, 
2.7964662002952245e-05, 2.4109217104619925e-08, 1701461883436246708, 
1.1202597424169838e-05, 2.4113227807980518e-08, 1701461883528305486, 
1.835097263430903e-05, 2.4111449852236788e-08, 1701461883646360897, 
-1.0568411772366915e-05, 2.411806832464744e-08, 1701461883789221113, 
-4.013765195621091e-06, 2.4116589620667946e-08, 1701461883886360474, 
-2.318244798382332e-05, 2.4122258930706576e-08, 1701461883978351862, 
-2.7364616996647974e-05, 2.4124510395203016e-08, 1701461884089261624, 
-3.2704325116491296e-05, 2.4127509125263383e-08, 1701461884189216323, 
-5.0365353605122474e-05, 2.4134860323901338e-08, 1701461884286145233, 
-5.5040610762529204e-05, 2.4136630508326065e-08, 1701461884378235759, 
-7.368955338683651e-05, 2.4143816680285553e-08, 1701461884489281224, 
-7.217471348570092e-05, 2.4140905969607688e-08, 1701461884589269954, 
-6.492114038300731e-05, 2.413537420980808e-08, 1701461884686984999, 
-4.531798799518995e-05, 2.4126481032253428e-08, 1701461884797175169, 
-3.6278097405834226e-05, 2.412326650351986e-08, 1701461884888406146, 
-4.227956815224834e-05, 2.4121713716128264e-08, 1701461884989274788, 
-3.69788515014697e-05, 2.4118557653778612e-08, 1701461885087368368, 
-4.4173097987963215e-05, 2.4115725068046088e-08, 1701461885178299247, 
-2.3535535400919943e-05, 2.4114590141051734e-08, 1701461885288272930, 
-1.4452729194110902e-05, 2.4112785323173596e-08, 1701461885389275327, 
-1.5191138504351967e-05, 2.4110858669149065e-08, 1701461885486081248, 
-2.962383042382968e-06, 2.4110257165175916e-08, 1701461885580473388, 
-8.452065944002069e-07, 2.410939419207884e-08, 1701461885690284436, 
6.36201113726126e-06, 2.4108533252508116e-08, 1701461885790492557, 
2.7373071283920454e-05, 2.410575743116635e-08, 1701461885887401568, 
2.492695536444751e-05, 2.4104790382122217e-08, 1701461885980248369, 
1.4114705101264691e-06, 2.4109054801479805e-08, 1701461886090292408, 
2.174069555653514e-06, 2.4109746401979854e-08, 1701461886190311371, 
2.1663340427971054e-06, 2.4109941779908286e-08, 1701461886287569886, 
2.553506412478509e-05, 2.4101305536475202e-08, 1701461886397878210, 
2.8003619266841873e-05, 2.4099473342476975e-08, 1701461886489286369, 
2.4033226043613476e-05, 2.4100548800191764e-08, 1701461886589782747, 
3.212982579281261e-05, 2.409647619258535e-08, 1701461886688368248, 
2.860294672426102e-05, 2.409760793203573e-08, 1701461886779259032, 
1.0500129430242582e-05, 2.4106898093008985e-08, 1701461886889299356, 
2.067100833995478e-06, 2.4111687403668408e-08, 1701461886988479043, 
