e, e_dot, e_int, stamp, 
0.27835261899098773, -8.814552532874008e-08, 0.010206832622319967, 1697831986201999697, 
0.27835261364403996, -1.0028792632039692e-07, 0.010065296652536627, 1697831986250977083, 
0.2758855722104745, -0.0026526046641766545, 0.033210808032639205, 1697831986560996302, 
0.3161642263158355, 0.04527501535566351, 0.05707467764499298, 1697831986841131811, 
0.345967952607493, 0.07553238112338229, 0.06670570846093417, 1697831987201017640, 
0.3775765770905952, 0.06272930541747838, 0.07622835609204122, 1697831987500985064, 
0.3973114738857997, 0.05705091515761163, 0.0747218165348744, 1697831987801002247, 
0.40224969425824686, 0.02650204152037708, 0.0862926700247756, 1697831988160749848, 
0.37565496171920554, -0.027050046535655778, 0.08357810052938507, 1697831988441057200, 
0.3235074411039687, -0.08769217546054973, 0.07224542849773948, 1697831988751090973, 
0.223252962253233, -0.15175622768746852, 0.06756880209466179, 1697831989100325510, 
0.1375823196586924, -0.1903817875783902, 0.049486407847330445, 1697831989401901825, 
-0.00013187177419049512, -0.24347092104072046, 0.024452471688934004, 1697831989710445179, 
-0.15418271476973633, -0.3044685394835876, -0.001186815849184858, 1697831990040269759, 
-0.287878749126086, -0.29912117949780637, -0.03147103614084516, 1697831990350977956, 
-0.38182951123180564, -0.24610045012878587, -0.05636662684404554, 1697831990656006133, 
-0.46127505337187613, -0.17832471822145113, -0.0823178570760844, 1697831991006036881, 
-0.48885154925697727, -0.10637388976363371, -0.09608927336135144, 1697831991305279372, 
-0.4738224621845877, -0.013920207752968213, -0.09453056914690026, 1697831991603512692, 
-0.427755205422642, 0.06841311068435676, -0.09203679887489946, 1697831991901017134, 
-0.32753118051309493, 0.14705945827148048, -0.08843176430324912, 1697831992251043527, 
-0.24473049479577957, 0.18563287498399725, -0.07289614529726306, 1697831992557071367, 
-0.09754773750884693, 0.22839663241660238, -0.049194276908948335, 1697831992912050201, 
0.030544561220114508, 0.2875498703522706, -0.022198306127643952, 1697831993197954190, 
0.14905779339378045, 0.2796835800158004, 0.005369903744382397, 1697831993501037578, 
0.2970263097177044, 0.27119524643328935, 0.0345955368577026, 1697831993851208715, 
0.42423005625550236, 0.28685808651399153, 0.06194524610578952, 1697831994141619153, 
0.5441565089606968, 0.2704047566060009, 0.08601380699004078, 1697831994462964987, 
0.6324406674195311, 0.21167917485540985, 0.11713041445279117, 1697831994800137267, 
0.6935387874399042, 0.15495494948230745, 0.1325940673719664, 1697831995101071857, 
0.5859956678311993, -0.05180693733637037, 0.12766859401578964, 1697831995401095581, 
0.40249425126934835, -0.289374976972225, 0.12335979881938237, 1697831995761130859, 
0.23663583803020705, -0.3679292001199057, 0.08701194942422542, 1697831996040301426, 
