x, y, th, stamp, 
-18.06943702697754,8.270840644836426,2.7655145399248675,1696617132812124661,
-18.075902938842773,8.273462295532227,2.7623615039334166,1696617132851530841,
-18.114723205566406,8.289560317993164,2.7316549525932343,1696617133011437791,
-18.185367584228516,8.322007179260254,2.6913079539706635,1696617133212933968,
-18.25182342529297,8.355504989624023,2.6400918948787235,1696617133411499678,
-18.3167781829834,8.393372535705566,2.565020274054219,1696617133651971860,
-18.385498046875,8.440139770507812,2.496391082809208,1696617133862044175,
-18.442493438720703,8.48476791381836,2.4263522723015676,1696617134051800795,
-18.501264572143555,8.538678169250488,2.339135249600768,1696617134263009870,
-18.561134338378906,8.605093002319336,2.2251989932300678,1696617134502353678,
-18.606307983398438,8.668371200561523,2.1175443009827153,1696617134714046679,
-18.6406192779541,8.729166984558105,2.0148943836841813,1696617134901496244,
-18.68144416809082,8.832771301269531,1.8340536469787554,1696617135209135626,
-18.703540802001953,8.955967903137207,1.613480094225015,1696617135560064310,
-18.699777603149414,9.0626859664917,1.4167277834830045,1696617135862045072,
-18.66891098022461,9.181201934814453,1.173395295744504,1696617136212047300,
-18.618450164794922,9.276825904846191,0.9525534581727718,1696617136523099963,
-18.538610458374023,9.366034507751465,0.6906113798419302,1696617136871202504,
-18.457107543945312,9.421032905578613,0.46324962767198347,1696617137162043034,
-18.34547233581543,9.460698127746582,0.18268199714561714,1696617137512047743,
-18.245901107788086,9.46844482421875,-0.0688196528669301,1696617137813059436,
-18.129343032836914,9.444090843200684,-0.3767693738596294,1696617138173040468,
-18.047883987426758,9.401548385620117,-0.6240190634920616,1696617138451755378,
-17.96380043029785,9.320032119750977,-0.9563183804954449,1696617138811145872,
-17.918535232543945,9.23447322845459,-1.2421463219375493,1696617139111277142,
-17.898700714111328,9.124616622924805,-1.579740797442525,1696617139461302582,
-17.912607192993164,9.027320861816406,-1.8800503200547236,1696617139772057744,
-17.954675674438477,8.943666458129883,-2.2263622199694657,1696617140103463901,
-18.0241641998291,8.875947952270508,-2.5435471738984727,1696617140411200383,
-18.10770034790039,8.834641456604004,-2.859950955974671,1696617140711388804,
-18.2136173248291,8.821659088134766,3.046900035276186,1696617141062220485,
-18.304428100585938,8.844141006469727,2.7017491301631904,1696617141371213816,
-18.386415481567383,8.900005340576172,2.3276222779827904,1696617141703698390,
-18.43887710571289,8.975430488586426,1.9753194650163233,1696617142009177713,
-18.46231460571289,9.07597541809082,1.567926936779327,1696617142360106320,
-18.448535919189453,9.163763046264648,1.2049327467922837,1696617142661213215,
-18.368959426879883,9.27453899383545,0.5857491175929815,1696617143163081424,
-18.27840232849121,9.312126159667969,0.15684511897840486,1696617143512086247,
-18.192283630371094,9.312479972839355,-0.22357292539102072,1696617143811341691,
-18.10362434387207,9.274639129638672,-0.6533412066923104,1696617144152043020,
-18.045957565307617,9.213353157043457,-1.0467546626398174,1696617144451177891,
-18.01387596130371,9.1171875,-1.5268169651736305,1696617144811234618,
-18.023412704467773,9.034451484680176,-1.9295184911446603,1696617145112113552,
-18.07408905029297,8.95313835144043,-2.4040689656064234,1696617145461476237,
-18.14527130126953,8.907780647277832,-2.831365607530297,1696617145773080805,
-18.198259353637695,8.898964881896973,3.0570018309464104,1696617146102366474,
-18.20451545715332,8.898974418640137,3.0075244906424556,1696617146412289679,
-18.204578399658203,8.899031639099121,3.0075244906424556,1696617146712116174,
-18.204511642456055,8.898927688598633,3.00659584011514,1696617147063786162,
