e, e_dot, e_int, stamp, 
-1.1664016469075176, -8.903465951289048e-08, -0.1059701077170032, 1697825414830813147, 
-1.1664016531898922, -1.476160617257453e-08, -0.11639646058131832, 1697825414879716710, 
-1.1363814660513656, 0.03337457042479645, -0.4032743712954076, 1697825415179547272, 
-0.9510945712418244, 0.2140524577972666, -0.6959688102028723, 1697825415521383862, 
-0.7373512537649718, 0.4193270016406763, -0.6029901561200461, 1697825415819929951, 
-0.5104598381668595, 0.4841438937908378, -0.444633229808436, 1697825416128003651, 
-0.25125739056092566, 0.4911948626333082, -0.3296577474778942, 1697825416479655143, 
-0.0705024251657973, 0.4528216580114628, -0.17824799536886088, 1697825416770555150, 
0.07448754095795729, 0.36870295213307175, -0.048630717566632765, 1697825417069661252, 
0.18886679282747965, 0.2861721210418617, 0.03889948016322092, 1697825417375674598, 
0.25622522110198953, 0.18803596585672877, 0.11429121169744944, 1697825417729567193, 
0.27535833781800756, 0.08470036612686338, 0.1570456612575895, 1697825418029622483, 
0.2764203653317012, 0.022473014580339113, 0.15910240951375462, 1697825418320291092, 
0.24731958726574832, -0.026544889542235408, 0.17049196335934616, 1697825418669688788, 
0.20648526354149066, -0.07169598320686044, 0.16045947893291687, 1697825418979510229, 
0.16156101148791802, -0.09383500153009579, 0.1251050475638901, 1697825419279594481, 
0.10046612448571302, -0.10132813921847723, 0.10870846073601977, 1697825419675597211, 
0.0602800141210833, -0.09683452350702064, 0.07423825406947215, 1697825419970596099, 
0.011668870627978611, -0.0892081701449956, 0.03821561472670865, 1697825420340544217, 
-0.021789335317262237, -0.08359674838037152, 0.010871083244717148, 1697825420620786344, 
-0.05741100973142799, -0.07825095662474714, -0.01325918456834073, 1697825420929566655, 
-0.08294845776795579, -0.06277085929200323, -0.035610463642188395, 1697825421279634199, 
-0.0938103000961672, -0.036387597505704396, -0.05073779232879097, 1697825421579579586, 
-0.10443882116010306, -0.024242661844741404, -0.055397433661167055, 1697825421870650315, 
-0.10863061166116528, -0.016695570490650947, -0.06136968654381532, 1697825422179518389, 
-0.10232638216745982, 0.0014789108690715595, -0.06927603095422918, 1697825422529594039, 
-0.09781993078196605, 0.010976548701571207, -0.06711649257457201, 1697825422831605581, 
-0.09277986060896093, 0.010439411389208668, -0.0595024105810349, 1697825423138987285, 
-0.0815635950769138, 0.016192743928151662, -0.05950523100205373, 1697825423487519278, 
-0.07228567277124598, 0.02137054185925022, -0.05254031633846368, 1697825423778088392, 
-0.05963640394400449, 0.02457373052873156, -0.04221666649429682, 1697825424080767520, 
-0.04878007254337402, 0.02430474110047161, -0.03924230482004044, 1697825424429585427, 
-0.03919129893424422, 0.021384190955665794, -0.03144677628692587, 1697825424719895971, 
-0.030186441061029523, 0.021022377367201195, -0.023241448617100393, 1697825425019680524, 
-0.02289379083189691, 0.016840746692200134, -0.02017034730547324, 1697825425375689165, 
-0.016824920784441977, 0.013484043148681318, -0.015377821609115602, 1697825425679624220, 
-0.010526374847662057, 0.013887471103433885, -0.009952894171562206, 1697825425969949910, 
-0.004910873931837978, 0.01266147481521458, -0.006829401426631301, 1697825426314677738, 
-0.003961131872291412, 0.0064547543004459225, -0.004226438032986054, 1697825426623577361, 
