x, y, theta, stamp, 
-0.9791393280029297, 0.013126515783369541, 0.6623903478367844, 1697826576386820200, 
-0.9791392683982849, 0.013126509264111519, 0.6623905100094688, 1697826576433669382, 
-0.9791392683982849, 0.013126509264111519, 0.66239053107624, 1697826576483550464, 
-0.9791392683982849, 0.013126509264111519, 0.6623906104519975, 1697826576626588463, 
-0.9758133292198181, 0.015869954600930214, 0.6817647937498071, 1697826576927169713, 
-0.9214640855789185, 0.06978214532136917, 0.876401667710009, 1697826577283200891, 
-0.8701713681221008, 0.14881697297096252, 1.1294341352706132, 1697826577587200005, 
-0.8379589319229126, 0.2517043948173523, 1.4222905288172414, 1697826577937213064, 
-0.8351570963859558, 0.3419845700263977, 1.6598301873505703, 1697826578226384965, 
-0.8512836694717407, 0.4319683015346527, 1.8458956685833794, 1697826578528228451, 
-0.881782591342926, 0.5120033025741577, 2.039290762207605, 1697826578837203888, 
-0.9322895407676697, 0.6024678945541382, 2.083573829093602, 1697826579187203778, 
-0.9751831889152527, 0.6802932620048523, 2.0489867757687383, 1697826579476649406, 
-1.0156973600387573, 0.7640212774276733, 1.9794211545136267, 1697826579780257867, 
-1.0536468029022217, 0.8637223243713379, 1.8692380578743668, 1697826580128186991, 
-1.0784533023834229, 0.9558850526809692, 1.7892377009377969, 1697826580437209701, 
-1.0977849960327148, 1.045645833015442, 1.7719115849345817, 1697826580737223851, 
-1.1209512948989868, 1.1512354612350464, 1.793612646378094, 1697826581087252600, 
-1.14320707321167, 1.237583041191101, 1.8512196501652545, 1697826581377393536, 
-1.1742109060287476, 1.3279691934585571, 1.9384829742738954, 1697826581687194471, 
-1.2122970819473267, 1.4152554273605347, 2.024009904581703, 1697826582037208777, 
-1.2565007209777832, 1.498094081878662, 2.073668939725727, 1697826582337217581, 
-1.3010601997375488, 1.5756534337997437, 2.090751167123151, 1697826582629524582, 
-1.3469913005828857, 1.6561740636825562, 2.0801140895840433, 1697826582928190767, 
-1.3991807699203491, 1.7527657747268677, 2.0442350881483677, 1697826583284391070, 
-1.4391010999679565, 1.834632158279419, 1.9996850741645749, 1697826583587653854, 
-1.466282606124878, 1.8966407775878906, 1.9628884809718734, 1697826583874787840, 
-1.4935022592544556, 1.966300129890442, 1.9155515070879217, 1697826584388295927, 
