e, e_dot, e_int, stamp, 
2.0748685797373665, 0.0, 0.06991386217876953, 1697828723442503174, 
2.0748685797373665, 0.0, 0.20729265788252468, 1697828723691404989, 
2.062748377404072, -0.013904012452499242, 0.3723834735973417, 1697828723981973446, 
1.9810370928762155, -0.10334209338013157, 0.4045818765240195, 1697828724286509216, 
1.892865264747677, -0.17963198799545613, 0.4158267792557394, 1697828724612369469, 
1.7914915187505425, -0.1926876737895886, 0.4126616377804898, 1697828724942060237, 
1.7058862258261969, -0.19472997548220658, 0.38274352999748634, 1697828725251430039, 
1.6722060617990728, -0.12429256126475685, 0.3788662201462805, 1697828725601648341, 
1.5985416303046558, -0.11662398122213508, 0.35421213531575824, 1697828725892005430, 
1.5059568261043859, -0.18756185869738795, 0.3131400879051929, 1697828726191649414, 
1.4142874260411558, -0.20457695275150764, 0.30147720728395894, 1697828726492453191, 
1.3035882664564984, -0.20435282547534603, 0.3096796162404894, 1697828726851504305, 
1.2114334377065956, -0.2049174724656007, 0.28805162608483753, 1697828727152229388, 
1.1203362779509625, -0.191639506217407, 0.25852916230605516, 1697828727491540987, 
1.0271587339839743, -0.19304420479052822, 0.2385770055354594, 1697828727791478804, 
0.934862805808258, -0.20611722559889314, 0.20545507372549138, 1697828728091437486, 
0.823642468157507, -0.20552627164481976, 0.20429161860034512, 1697828728451509792, 
0.7317215232798432, -0.20511898401340112, 0.1826175545653856, 1697828728751440821, 
0.6417831815909246, -0.20528450332640444, 0.1441905211194856, 1697828729042146007, 
0.5497621132695079, -0.2052431884756886, 0.12631255488974286, 1697828729342525211, 
0.44203098591824, -0.20496477684085482, 0.11789667766278852, 1697828729691684147, 
0.3471837051120517, -0.2053388307098988, 0.0978395767806913, 1697828730000158852, 
0.2412954644782875, -0.20295834333335586, 0.07554695976139877, 1697828730351476420, 
0.17202725827369764, -0.1796241252133439, 0.054334891785057064, 1697828730643169888, 
0.12090784511977534, -0.13628051387427387, 0.03502105974801913, 1697828730941464258, 
0.08538931151479853, -0.09580666432636416, 0.025405029710644407, 1697828731247532859, 
0.06792066061282473, -0.05513478027368616, 0.020109157636930504, 1697828731601459369, 
0.060451556173422655, -0.024962864697564962, 0.01535441640261381, 1697828731893999736, 
