imu_ax (m/s^2), imu_ay (m/s^2), kf_ax (m/s^2), kf_ay (m/s^2), odom_v (m/s), odom_w (rad/s), kf_vx (m/s), kf_w (rad/s), odom_x (m), odom_y (m), kf_x (m), kf_y (m), odom_th (rad), kf_th (rad), stamp, 
0.0031362175941467285, 0.017679452896118164, 0.0028507785142033804, 1.004648154249995e-11, 0.0, 8.543899525648158e-07, 1.2933352059055167e-05, 7.767886853018896e-07, -1.2421774897575233e-07, 1.4413596716167376e-07, -6.466676029527582e-06, 0.0, -1.430623603046831e-06, 3.880063363146302e-08, 1700249386239435962, 
-0.00038564205169677734, 0.01058053970336914, 0.0012999176591633908, 1.759975739080716e-11, 0.0, 1.8304807322677696e-11, 3.742242151958868e-05, 4.702998009253518e-07, -1.2421774897575233e-07, 1.4413596716167376e-07, -6.088156667778556e-06, -6.419477807869674e-14, -1.4306222388043032e-06, 4.733976169219925e-08, 1700249386289122076, 
0.032030463218688965, 0.02077329158782959, 0.011371042074401958, 5.406453657046332e-10, 0.0, 1.069030190592457e-06, 0.0005862609269115623, 9.221923906011731e-07, -1.2421774897575233e-07, 1.4413596716167376e-07, -7.726598521037736e-05, -8.2988435746658e-13, -1.4306266362491896e-06, 1.3674885901481693e-07, 1700249386340617246, 
0.005806624889373779, 0.018462657928466797, 0.009947235554526082, 2.5969990549234275e-09, 0.0, -1.3328138592783034e-10, 0.0007581129940869429, 3.425609474022015e-06, -1.2421774897575233e-07, 1.4413596716167376e-07, -9.089631731491057e-05, 1.0957182506780484e-11, -1.4306320932191157e-06, 6.585857963109069e-07, 1700249386384972393, 
0.8975008726119995, 0.03072953224182129, 0.1938674716267412, 0.00018867257171692621, 0.004652955254161865, 0.047030575573444366, 0.019260342870128316, 0.009795909293470913, 0.00023496757785324007, -0.000169066566741094, -0.001845694893083908, 1.0917302042467421e-07, 0.002378210906635599, 0.002261900623865225, 1700249386435498342, 
0.3637619614601135, 0.42645102739334106, 0.2253361441497646, 0.003374678735921024, 0.08669106851386749, 0.3791486620903015, 0.04360055451611265, 0.07739990404649341, 0.006919732317328453, 7.525012915721163e-05, 0.0017007087510504863, 1.8781131435250143e-05, 0.035249974807672786, 0.020870977114321194, 1700249386534860762, 
-0.2099224328994751, -0.012458324432373047, 0.15865469327735388, 0.01048122888117184, 0.1522052169572775, 0.6638801693916321, 0.06147328771156624, 0.17050054212733753, 0.02155192941427231, 0.001255293725989759, 0.009366099070618372, 0.00014593176872630963, 0.10022915910878445, 0.05278281749844711, 1700249386644678211, 
0.36195510625839233, -0.10449373722076416, 0.18936916061255474, 0.02034521864932588, 0.1690690865613961, 0.6505303978919983, 0.0852055522187953, 0.23877808569425563, 0.02998361922800541, 0.001983747584745288, 0.0157140002660484, 0.0004662910788162901, 0.13280121912991902, 0.08386739646374533, 1700249386694730556, 
-0.0173148512840271, -0.013120114803314209, 0.16292307226629277, 0.02791382415252375, 0.1477786465700493, 0.6248748898506165, 0.09626541895997505, 0.28996730554021355, 0.05851450935006142, 0.007433908525854349, 0.022395630058760004, 0.000989429102208068, 0.25281668740586866, 0.1140183418367656, 1700249386884627787, 
0.013369500637054443, 0.20984238386154175, 0.1461691129667464, 0.0376335213935071, 0.1417521294190353, 0.6301117539405823, 0.11242149430207632, 0.3347537908754878, 0.07093923538923264, 0.010686659254133701, 0.03147804035679306, 0.001834108687558923, 0.30953422258612245, 0.1454237064801689, 1700249386974216613, 
0.11206763982772827, 0.13500159978866577, 0.1431713976008948, 0.046197825895078155, 0.14005522917660557, 0.6180025339126587, 0.12495591354391054, 0.3697130018487989, 0.08649653196334839, 0.016241343691945076, 0.03930445310665593, 0.0029485909175560525, 0.38361077861380216, 0.1760024493907698, 1700249387094509452, 
-0.10882121324539185, 0.004756331443786621, 0.11465238777770204, 0.04975955555428355, 0.14416481318207597, 0.5903229713439941, 0.12618670202006993, 0.3943328001897483, 0.09831728041172028, 0.021443048492074013, 0.0456645958083995, 0.0041431935083039995, 0.4370709421412281, 0.2046198619615778, 1700249387184343908, 
-0.24985843896865845, -0.017645597457885742, 0.0746255124759296, 0.04976686107390033, 0.14092725692243946, 0.5149518847465515, 0.12234080851656107, 0.4067887214196682, 0.11089899390935898, 0.027588604018092155, 0.05175755167248793, 0.005352057945736974, 0.4918604482847302, 0.22962720916289994, 1700249387284294831, 
0.18327748775482178, 0.24434781074523926, 0.08793711589162242, 0.057683428280717014, 0.14091663103752963, 0.48893219232559204, 0.1380273360802342, 0.4179130737348005, 0.12198810279369354, 0.03370143473148346, 0.0613487117881122, 0.007282904355388607, 0.5367427721981026, 0.2547875128141092, 1700249387374518496, 
0.4210754632949829, -0.02202850580215454, 0.12138042917393829, 0.06237370435074376, 0.1334448416796201, 0.567203938961029, 0.14426138143963443, 0.43236591614675324, 0.13551291823387146, 0.042321182787418365, 0.06524778214299852, 0.009128527070985125, 0.6007292032151575, 0.282097033611147, 1700249387494320118, 
