e, e_dot, e_int, stamp, 
-3.0141147448623076, 0.0, -0.29502462562416243, 1697826374534764037, 
-3.0141147448623076, 0.0, -0.3284831137892104, 1697826374585116750, 
-2.954128746992404, 0.07966613810972949, -0.9022533839990743, 1697826374836105854, 
-2.5788864807761156, 0.4484424823640751, -1.6814111264447833, 1697826375175283671, 
-2.149567697481313, 0.844291015520473, -1.6392789960792373, 1697826375476233925, 
-1.7215747364703713, 0.9374687075740794, -1.3110290265403104, 1697826375785061880, 
-1.5492191049728214, 0.6260659706953334, -1.1905017245228993, 1697826376135139267, 
-1.1645426192732176, 0.5912130196529641, -0.9614334165219615, 1697826376435362094, 
-0.8000033362571457, 0.8456536092495304, -0.6916732441361556, 1697826376725679527, 
-0.4648915236226876, 0.7784336051177188, -0.4864613937481855, 1697826377036070774, 
-0.10340617675878772, 0.7041456714793869, -0.3012080000117089, 1697826377386078062, 
0.16764427893042066, 0.6445947302194904, -0.08692087847983027, 1697826377686914175, 
0.4413103592466243, 0.6157557174176295, 0.0994311237715921, 1697826377976117186, 
0.6271101931176926, 0.49237378254271946, 0.26336872832067254, 1697826378326125133, 
0.6712685176144599, 0.2248724706216616, 0.381077489169357, 1697826378633264769, 
0.6696987536169834, 0.04619702212901494, 0.4002293319932912, 1697826378936206808, 
0.5824154869171412, -0.08487304253264992, 0.4185682041673187, 1697826379286127340, 
0.46801426870383245, -0.21459250910838049, 0.36697709616540647, 1697826379576235319, 
0.3460977200743929, -0.2669466706757733, 0.27466240205198406, 1697826379876153115, 
0.18477330506657408, -0.2844168552418445, 0.22009569618326866, 1697826380237259255, 
0.06234030243544075, -0.28540780734804844, 0.13052779566974274, 1697826380536260852, 
-0.06893145491813901, -0.27994516432228816, 0.03587563583964141, 1697826380841286684, 
-0.17743220395462478, -0.25274534288869027, -0.039009801943625945, 1697826381172209506, 
-0.23197273400424745, -0.1683287658282442, -0.10186409035100354, 1697826381480151457, 
-0.26814737041198566, -0.09844119990058109, -0.13866346556977385, 1697826381786170069, 
-0.2884345063740068, -0.0587250592885849, -0.1724333479277019, 1697826382136161880, 
-0.27961010505882244, -0.009516017374103689, -0.1811673066736034, 1697826382436142721, 
-0.2505740620927821, 0.0291619503995354, -0.21829962709600692, 1697826382936166696, 
-0.23510201103997508, 0.036548375080940144, -0.20407898732904167, 1697826383236153200, 
-0.2209210652159157, 0.033435648691445295, -0.1391973720819249, 1697826383527157083, 
-0.2295307853049242, 0.008021237866688503, -0.14625973745074386, 1697826383876189289, 
-0.26140688458317474, -0.04249133605336098, -0.1563932494073363, 1697826384186248171, 
-0.2418252566204906, -0.012520421832299561, -0.14903956362245196, 1697826384486371211, 
-0.24486105415858694, 0.01886415764861427, -0.16232780784388973, 1697826384837214423, 
-0.2974897477920162, -0.06334052689555926, -0.16755708158103266, 1697826385127389563, 
-0.41461451894177204, -0.1879355586165543, -0.19025535011866848, 1697826385433647792, 
