e, e_dot, e_int, stamp, 
2.4064384220350066, 0.0, 0.21863012614243355, 1697825414830813147, 
2.4064384220350066, 0.0, 0.24014104817891593, 1697825414879716710, 
2.4010556160097667, -0.005984275462485912, 0.8385814747583399, 1697825415179547272, 
2.3588634175898, -0.0471269341228385, 1.5328053929236676, 1697825415521383862, 
2.2975933603448055, -0.10955203720357025, 1.5065028979699335, 1697825415819929951, 
2.2219781631464026, -0.15022443037270192, 1.390864917536263, 1697825416128003651, 
2.121873766803884, -0.17670483012785962, 1.4605095897658085, 1697825416479655143, 
2.0343919075754244, -0.1951325388384939, 1.3661167129298861, 1697825416770555150, 
1.9422661623371718, -0.20291061499293148, 1.1993903465312379, 1697825417069661252, 
1.8491447463661626, -0.204102881375908, 1.1751021947811493, 1697825417375674598, 
1.742895395800135, -0.2015118600895982, 1.2173738698851981, 1697825417729567193, 
1.6546207807128828, -0.198141665470412, 1.143680937942996, 1697825418029622483, 
1.56843061973107, -0.19690609954444618, 0.9778344845679554, 1697825418320291092, 
1.4649952944232447, -0.19752091557249166, 1.0002202418837032, 1697825418669688788, 
1.3717760052529715, -0.19897321190779182, 0.9679978025408049, 1697825418979510229, 
1.2807636954423218, -0.20138996034226922, 0.8371026782165077, 1697825419279594481, 
1.1603812827759004, -0.2024276953885578, 0.8847082199963116, 1697825419675597211, 
1.0695919057540628, -0.2039185520152502, 0.8086416223990426, 1697825419970596099, 
0.9558505577550029, -0.20507130675531285, 0.7061346539119641, 1697825420340544217, 
0.8691850953202314, -0.20556808211799815, 0.6273528672196576, 1697825420620786344, 
0.7839309203542529, -0.19511728770926906, 0.5122466172473141, 1697825420929566655, 
0.6794180894060542, -0.1915500833868217, 0.5122616972822192, 1697825421279634199, 
0.5967120105889778, -0.19142919959859658, 0.4463554339586965, 1697825421579579586, 
0.524413540518815, -0.17470836810545087, 0.3547167697016647, 1697825421870650315, 
0.4535196998261357, -0.15930529325363457, 0.3148969289983119, 1697825422179518389, 
0.3849352930327612, -0.14181366790118058, 0.29935122223544264, 1697825422529594039, 
0.33291261034349395, -0.1227223527247534, 0.2546112703906724, 1697825422831605581, 
0.28624215438081174, -0.10802873539240443, 0.20396189985763546, 1697825423138987285, 
0.24109872468087779, -0.09378558126720515, 0.18808401553096804, 1697825423487519278, 
0.20866599203153155, -0.08038081871740664, 0.1567942686917613, 1697825423778088392, 
0.18412356777633887, -0.06423397651713356, 0.12535103679911527, 1697825424080767520, 
0.1557921343901382, -0.05410174545995117, 0.11913311574175978, 1697825424429585427, 
0.13604957269455648, -0.049742082117614356, 0.10140098295057384, 1697825424719895971, 
0.1183280558275597, -0.04237305084573895, 0.08067972201072458, 1697825425019680524, 
0.10005233337558479, -0.036816409707813635, 0.07747758558739722, 1697825425375689165, 
0.08646252969313963, -0.0320159689351337, 0.06705972086528066, 1697825425679624220, 
0.07502432007788941, -0.028036903141412495, 0.051807489941132726, 1697825425969949910, 
0.0635096658835601, -0.024266671993690998, 0.04762827626806297, 1697825426314677738, 
0.05726087905141526, -0.01787711427254352, 0.04265896617908262, 1697825426623577361, 
